Sl. No.,Cause,Below 18 years - Male,Below 18 years - Female,Below 18 years - Transgender,Below 18 years - Total,18 yrs.- Below 30 years - Male,18 yrs.- Below 30 years - Female,18 yrs.- Below 30 years - Transgender,18 yrs.- Below 30 years - Total,30 yrs.- Below 45 years - Male,30 yrs.- Below 45 years - Female,30 yrs.- Below 45 years - Transgender,30 yrs.- Below 45 years - Total,45 yrs.- Below 60 years - Male,45 yrs.- Below 60 years - Female,45 yrs.- Below 60 years - Transgender,45 yrs.- Below 60 years - Total,60 years & above - Male,60 years & above - Female,60 years & above - Transgender,60 years & above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,Bankruptcy or Indebtedness,12,11,0,23,1204,135,0,1339,2535,228,0,2763,2096,188,0,2284,570,55,0,625,6417,617,0,7034
2,Marriage Related Issues (Total),56,150,0,206,1884,2562,1,4447,1695,1062,0,2757,541,132,0,673,61,20,0,81,4237,3926,1,8164
2.1,Non Settlement of Marriage,27,45,0,72,902,633,0,1535,672,286,0,958,198,28,0,226,9,0,0,9,1808,992,0,2800
2.2,Dowry Related Issues,2,52,0,54,93,1150,0,1243,108,347,0,455,10,10,0,20,0,2,0,2,213,1561,0,1774
2.3,Extra Marital Affairs,9,9,0,18,387,309,0,696,362,193,0,555,101,34,0,135,13,0,0,13,872,545,0,1417
2.4,Divorce,3,2,0,5,121,100,0,221,180,75,0,255,78,19,0,97,3,1,0,4,385,197,0,582
2.5,Others,15,42,0,57,381,370,1,752,373,161,0,534,154,41,0,195,36,17,0,53,959,631,1,1591
3,Failure in Examination,548,575,0,1123,546,370,0,916,43,12,0,55,0,1,0,1,0,0,0,0,1137,958,0,2095
4,Impotency/Infertility,0,4,0,4,46,100,0,146,86,80,0,166,29,15,0,44,8,6,0,14,169,205,0,374
5,Family Problems,1115,1441,0,2556,11504,7624,8,19136,14207,4729,2,18938,7718,1828,0,9546,3043,908,0,3951,37587,16530,10,54127
6,Illness (Total),524,767,1,1292,4974,2521,6,7501,6215,2422,0,8637,5659,1992,1,7652,4577,1825,0,6402,21949,9527,8,31484
6.1,AIDS/STD,2,3,0,5,22,9,1,32,44,25,0,69,32,3,0,35,14,1,0,15,114,41,1,156
6.2,Cancer,4,11,0,15,76,15,0,91,213,78,0,291,333,131,0,464,283,107,0,390,909,342,0,1251
6.3,Paralysis,7,10,0,17,73,28,0,101,180,51,0,231,288,64,0,352,284,61,0,345,832,214,0,1046
6.4,Insanity/ Mental Illness,359,390,0,749,3056,1307,1,4364,3377,1152,0,4529,2224,811,0,3035,1349,574,0,1923,10365,4234,1,14600
6.5,Other Prolonged Illness,152,353,1,506,1747,1162,4,2913,2401,1116,0,3517,2782,983,1,3766,2647,1082,0,3729,9729,4696,6,14431
7,Death of Dear Person,36,45,0,81,356,226,0,582,386,171,1,558,315,149,0,464,279,111,0,390,1372,702,1,2075
8,Drug Abuse/Alcoholic Addiction,93,4,0,97,3017,56,1,3074,4521,101,0,4622,2865,58,0,2923,898,20,0,918,11394,239,1,11634
9,Fall in Social Reputation,28,31,0,59,210,98,0,308,249,58,0,307,132,28,0,160,40,10,0,50,659,225,0,884
10,Ideological Causes/Hero Worshipping,13,5,0,18,39,26,0,65,34,13,0,47,22,13,0,35,7,2,0,9,115,59,0,174
11,Love Affairs,672,906,0,1578,3169,1607,2,4778,799,360,0,1159,79,24,0,103,11,0,0,11,4730,2897,2,7629
12,Poverty,34,20,0,54,336,53,0,389,502,71,0,573,302,44,0,346,75,15,0,90,1249,203,0,1452
13,Unemployment,22,11,0,33,1254,191,0,1445,1121,86,0,1207,387,41,0,428,52,5,0,57,2836,334,0,3170
14,Property Dispute,55,27,0,82,386,107,0,493,510,120,1,631,372,73,0,445,142,36,0,178,1465,363,1,1829
15,Suspected/ Illicit Relation (Other than Sl. No. 2.3),32,21,0,53,231,148,0,379,258,86,0,344,81,15,0,96,6,4,0,10,608,274,0,882
16,Illegitimate Pregnancy (Other than Sl. No. 2.3),0,2,0,2,0,18,0,18,0,10,0,10,0,0,0,0,0,0,0,0,0,30,0,30
17,"Physical Abuse (Rape, etc.)",0,10,0,10,0,10,0,10,11,5,0,16,0,1,0,1,0,1,0,1,11,27,0,38
18,Professional/Career Problem,36,43,0,79,679,122,0,801,699,66,0,765,312,34,0,346,79,13,0,92,1805,278,0,2083
19,Causes Not Known,533,695,0,1228,4323,2811,1,7135,4087,1484,0,5571,2306,484,0,2790,760,266,0,1026,12009,5740,1,17750
20,Other Causes,807,820,0,1627,4101,2043,2,6146,4071,1153,1,5225,2892,692,0,3584,1104,330,0,1434,12975,5038,3,18016
21,Total,4616,5588,1,10205,38259,20828,21,59108,42029,12317,5,54351,26108,5812,1,31921,11712,3627,0,15339,122724,48172,28,170924
