Sl. No.,State/UT,No Education - Male,No Education - Female,No Education - Transgender,No Education - Total,Primary (up to class–5th) - Male,Primary (up to class–5th) - Female,Primary (up to class–5th) - Transgender,Primary (up to class–5th) - Total,Middle (up to class–8th) - Male,Middle (up to class–8th) - Female,Middle (up to class–8th) - Transgender,Middle (up to class–8th) - Total,Matriculate/ Secondary (up to class–10th) - Male,Matriculate/ Secondary (up to class–10th) - Female,Matriculate/ Secondary (up to class–10th) - Transgender,Matriculate/ Secondary (up to class–10th) - Total,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Male,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Female,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Transgender,Hr. Secondary/ Intermediate/Pre-University (up to class–12th) - Total,Diploma/Certificate/ ITI - Male,Diploma/Certificate/ ITI - Female,Diploma/Certificate/ ITI - Transgender,Diploma/Certificate/ ITI - Total,Graduate and above - Male,Graduate and above - Female,Graduate and above - Transgender,Graduate and above - Total,Professionals (MBA) - Male,Professionals (MBA) - Female,Professionals (MBA) - Transgender,Professionals (MBA) - Total,Status Not known - Male,Status Not known - Female,Status Not known - Transgender,Status Not known - Total,Total - Male,Total - Female,Total - Transgender,Total
1,Andhra Pradesh,1275,478,0,1753,1109,356,0,1465,991,354,0,1345,1639,451,2,2092,725,204,0,929,118,15,0,133,399,150,0,549,58,4,0,62,451,129,0,580,6765,2141,2,8908
2,Arunachal Pradesh,6,1,0,7,22,5,0,27,23,6,0,29,17,8,0,25,23,9,0,32,2,0,0,2,6,2,0,8,0,0,0,0,15,4,0,19,114,35,0,149
3,Assam,294,154,0,448,382,174,0,556,512,221,0,733,589,281,0,870,374,145,0,519,46,0,0,46,110,33,0,143,0,0,0,0,2,3,0,5,2309,1011,0,3320
4,Bihar,24,21,0,45,25,32,0,57,65,66,0,131,107,98,0,205,120,68,0,188,7,6,0,13,34,20,0,54,3,2,0,5,1,3,0,4,386,316,0,702
5,Chhattisgarh,774,419,0,1193,1128,354,0,1482,1408,384,0,1792,1206,387,0,1593,597,213,0,810,22,7,0,29,152,48,0,200,1,0,0,1,872,474,0,1346,6160,2286,0,8446
6,Goa,7,4,0,11,31,8,0,39,56,20,0,76,66,22,0,88,45,13,0,58,3,1,0,4,14,1,0,15,0,0,0,0,10,1,0,11,232,70,0,302
7,Gujarat,569,322,0,891,902,524,1,1427,1374,641,0,2015,1639,670,1,2310,1203,421,0,1624,68,15,0,83,287,107,0,394,15,1,0,16,201,41,0,242,6258,2742,2,9002
8,Haryana,447,105,0,552,361,93,0,454,393,79,0,472,665,128,0,793,416,97,0,513,19,1,0,20,69,26,0,95,3,1,0,4,700,179,1,880,3073,709,1,3783
9,Himachal Pradesh,28,12,0,40,34,15,0,49,78,41,0,119,172,43,0,215,125,41,0,166,12,1,0,13,21,16,0,37,0,0,0,0,1,4,0,5,471,173,0,644
10,Jharkhand,113,63,0,176,93,35,0,128,310,127,0,437,383,203,0,586,391,138,0,529,117,76,0,193,55,21,0,76,1,0,0,1,10,45,0,55,1473,708,0,2181
11,Karnataka,1141,432,0,1573,2073,512,1,2586,1929,599,0,2528,2669,820,0,3489,1458,497,0,1955,163,36,0,199,584,232,0,816,65,32,0,97,280,83,0,363,10362,3243,1,13606
12,Kerala,86,42,0,128,1147,354,1,1502,1552,390,0,1942,2774,690,1,3465,1603,444,0,2047,214,28,0,242,561,163,0,724,31,7,0,38,63,11,0,74,8031,2129,2,10162
13,Madhya Pradesh,1886,892,0,2778,2023,1118,0,3141,2161,966,0,3127,2139,904,0,3043,1632,675,0,2307,70,9,0,79,396,168,0,564,12,6,0,18,248,81,0,329,10567,4819,0,15386
14,Maharashtra,1158,375,0,1533,2182,547,0,2729,3104,874,1,3979,6005,1335,0,7340,4231,1065,1,5297,270,54,0,324,827,206,0,1033,50,17,0,67,340,104,0,444,18167,4577,2,22746
15,Manipur,0,0,0,0,0,0,0,0,2,3,0,5,5,6,0,11,7,1,0,8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,16,10,0,26
16,Meghalaya,16,3,0,19,22,8,0,30,54,18,0,72,56,19,0,75,14,1,0,15,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,164,49,0,213
17,Mizoram,0,0,0,0,5,2,0,7,33,5,0,38,68,10,0,78,29,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,18,0,153
18,Nagaland,1,1,0,2,1,2,0,3,18,2,0,20,3,4,0,7,7,1,0,8,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,4,39,10,0,49
19,Odisha,26,38,0,64,53,153,0,206,74,166,0,240,123,179,0,302,77,155,0,232,7,25,0,32,15,56,0,71,1,2,0,3,1774,3216,0,4990,2150,3990,0,6140
20,Punjab,349,83,0,432,270,53,1,324,357,83,0,440,501,144,0,645,292,105,0,397,21,12,0,33,74,29,0,103,10,2,0,12,55,0,0,55,1929,511,1,2441
