Sl. No.,Means/Mode,Male,Female,Transgender,Total,Percentage Share
1,By Consuming Sleeping Pills,494,259,0,753,0.4
2,By Drowning,5919,2604,0,8523,5
3,By Fire/Self Immolation,1396,1745,0,3141,1.8
4,By Firearms,257,66,0,323,0.2
5,By Hanging,72271,27128,16,99415,58.2
6,By Poison (Total),30618,12759,10,43387,25.4
6.1,By Consuming Insecticides,18982,6505,2,25489,14.9
6.2,By Consuming Other Poison,11636,6254,8,17898,10.5
7,By Self inflicting Injury,496,152,0,648,0.4
8,Jumping (Total),1486,461,0,1947,1.1
8.1,from Building,630,233,0,863,0.5
8.2,from Other Sites,179,75,0,254,0.1
8.3,by Jumping off Moving Trains/Vehicles,677,153,0,830,0.5
9,By Coming under Running Vehicles/Trains,4286,593,1,4880,2.9
10,By Touching Electric Wire,333,90,0,423,0.2
11,By Other Means,5168,2315,1,7484,4.4
Total,Total,122724,48172,28,170924,100
