Sl. No.,State/UT,By Consuming Sleeping Pills - Male,By Consuming Sleeping Pills - Female,By Consuming Sleeping Pills - Transgender,By Consuming Sleeping Pills - Total,By Drowning - Male,By Drowning - Femal,By Drowning - Transgender,By Drowning - Total,By Fire/Self Immolation - Male,By Fire/Self Immolation - Femal,By Fire/Self Immolation - Transgender,By Fire/Self Immolation - Total,By Firearms - Male,By Firearms - Female,By Firearms - Transgender,By Firearms - Total,By Hanging - Male,By Hanging - Femal,By Hanging - Transgender,By Hanging - Total,By Hanging - Male,By Hanging - Femal,By Hanging - Transgender,By Hanging - Total,By Poison (By Consuming Insecticides) - Male,By Poison (By Consuming Insecticides) - Female,By Poison (By Consuming Insecticides) - Transgender,By Poison (By Consuming Insecticides) - Total,By Poison (By Consuming other Poison) - Male,By Poison (By Consuming other Poison) - Femal,By Poison (By Consuming other Poison) - Transgender,By Poison (By Consuming other Poison) - Total,By Self Inflicting Injury - Male,By Self Inflicting Injury - Femal,By Self Inflicting Injury - Transgender,By Self Inflicting Injury - Total,Jumping (Total) - Male,Jumping (Total) - Female,Jumping (Total) - Transgender,Jumping (Total) - Total,Jumping (from Building) - Male,Jumping (from Building) - Femal,Jumping (from Building) - Transgender,Jumping (from Building) - Total,Jumping (from Other Sites) - Male,Jumping (from Other Sites) - Femal,Jumping (from Other Sites) - Transgender,Jumping (from Other Sites) - Total,Jumping (by Jumping off Moving Trains/Vehicles) - Male,Jumping (by Jumping off Moving Trains/Vehicles) - Female,Jumping (by Jumping off Moving Trains/Vehicles) - Transgender,Jumping (by Jumping off Moving Trains/Vehicles) - Total,By Coming under Running Vehicles/Trains - Male,By Coming under Running Vehicles/Trains - Femal,By Coming under Running Vehicles/Trains - Transgender,By Coming under Running Vehicles/Trains - Total,By Touching Electric Wire - Male,By Touching Electric Wire - Femal,By Touching Electric Wire - Transgender,By Touching Electric Wire - Total,By Other Means - Male,By Other Means - Female,By Other Means - Transgender,By Other Means - Total,Total - Male,Total - Femal,Total - Transgender,Total
1,Andhra Pradesh,20,13,0,33,362,147,0,509,62,31,0,93,7,1,0,8,2260,849,0,3109,2978,929,1,3908,2103,651,0,2754,875,278,1,1154,27,10,0,37,95,10,0,105,72,8,0,80,5,1,0,6,18,1,0,19,726,88,1,815,15,1,0,16,213,62,0,275,6765,2141,2,8908
2,Arunachal Pradesh,0,0,0,0,6,2,0,8,1,0,0,1,1,0,0,1,75,23,0,98,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,36,114,35,0,149
3,Assam,7,4,0,11,221,91,0,312,3,7,0,10,6,1,0,7,1700,720,0,2420,228,135,0,363,227,130,0,357,1,5,0,6,62,30,0,92,55,14,0,69,1,0,0,1,0,0,0,0,54,14,0,68,7,4,0,11,14,3,0,17,6,2,0,8,2309,1011,0,3320
4,Bihar,19,20,0,39,4,2,0,6,0,9,0,9,0,2,0,2,274,235,0,509,68,45,0,113,66,45,0,111,2,0,0,2,8,0,0,8,12,3,0,15,7,3,0,10,0,0,0,0,5,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,386,316,0,702
5,Chhattisgarh,2,0,0,2,50,25,0,75,45,145,0,190,5,1,0,6,4448,1289,0,5737,1237,647,0,1884,650,317,0,967,587,330,0,917,22,6,0,28,49,11,0,60,1,0,0,1,8,2,0,10,40,9,0,49,108,21,0,129,11,3,0,14,183,138,0,321,6160,2286,0,8446
6,Goa,1,0,0,1,27,9,0,36,1,2,0,3,0,0,0,0,171,50,0,221,18,8,0,26,15,5,0,20,3,3,0,6,1,0,0,1,2,1,0,3,2,1,0,3,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0,1,232,70,0,302
7,Gujarat,7,6,0,13,639,194,0,833,66,79,0,145,9,0,0,9,3300,1491,2,4793,1624,834,0,2458,1332,678,0,2010,292,156,0,448,27,7,0,34,127,47,0,174,67,35,0,102,20,4,0,24,40,8,0,48,369,41,0,410,7,2,0,9,83,41,0,124,6258,2742,2,9002
8,Haryana,0,0,0,0,110,15,0,125,16,6,0,22,10,0,0,10,1419,379,0,1798,393,137,0,530,96,39,0,135,297,98,0,395,4,1,0,5,23,10,0,33,12,7,0,19,11,3,0,14,0,0,0,0,184,30,0,214,52,4,0,56,862,127,1,990,3073,709,1,3783
9,Himachal Pradesh,3,1,0,4,3,0,0,3,1,0,0,1,4,0,0,4,248,75,0,323,211,96,0,307,211,96,0,307,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,173,0,644
10,Jharkhand,1,0,0,1,75,73,0,148,0,6,0,6,3,0,0,3,894,354,0,1248,235,165,0,400,208,163,0,371,27,2,0,29,0,1,0,1,142,38,0,180,8,2,0,10,0,0,0,0,134,36,0,170,81,58,0,139,35,13,0,48,7,0,0,7,1473,708,0,2181
