Sl. No.,State/UT,Number of Suicides - 2021,Number of Suicides - 2022,Percentage Variation in 2022 over 2021
1,Andhra Pradesh,8067,8908,10.4
2,Arunachal Pradesh,160,149,6.9
3,Assam,3262,3320,1.8
4,Bihar,827,702,15.1
5,Chhattisgarh,7828,8446,7.9
6,Goa,321,302,5.9
7,Gujarat,8789,9002,2.4
8,Haryana,3692,3783,2.5
9,Himachal Pradesh,889,644,27.6
10,Jharkhand,1825,2181,19.5
11,Karnataka,13056,13606,4.2
12,Kerala,9549,10162,6.4
13,Madhya Pradesh,14965,15386,2.8
14,Maharashtra,22207,22746,2.4
15,Manipur,49,26,-46.9
16,Meghalaya,226,213,5.8
17,Mizoram,99,153,54.5
18,Nagaland,43,49,14
19,Odisha,5651,6140,8.7
20,Punjab,2600,2441,6.1
21,Rajasthan,5593,5343,4.5
22,Sikkim,266,293,10.2
23,Tamil Nadu,18925,19834,4.8
24,Telangana,10171,9980,1.9
25,Tripura,771,713,7.5
26,Uttar Pradesh,5932,8176,37.8
27,Uttarakhand,717,814,13.5
28,West Bengal,13500,12669,6.2
Total (States),Total (States),159980,166181,3.9
29,Andaman and Nicobar Islands,159,171,7.5
30,Chandigarh,120,131,9.2
31,Dadra and Nagar Haveli and Daman and Diu,171,205,19.9
32,Delhi (UT),2840,3417,20.3
33,Jammu and Kashmir,247,323,30.8
34,Ladakh,11,13,18.2
35,Lakshadweep,1,2,100
36,Puducherry,504,481,4.6
Total (UTs),Total (UTs),4053,4743,17
Total (All India),Total (All India),164033,170924,4.2
37,Agra,99,289,191.9
38,Ahmedabad,991,928,6.4
39,Amritsar,69,49,29
40,Asansol,477,468,-1.9
41,Aurangabad,297,358,20.5
42,Bengaluru,2292,2313,0.9
43,Bhopal,566,527,6.9
44,Chandigarh (City),120,131,9.2
45,Chennai,2699,1581,-41.4
46,Coimbatore,390,376,3.6
47,Delhi (City),2760,3367,22
48,Dhanbad,113,28,-75.2
49,Durg Bhilainagar,338,378,11.8
50,Faridabad,339,350,3.2
51,Ghaziabad,64,157,145.3
52,Gwalior,320,307,-4.1
53,Hyderabad,571,544,4.7
54,Indore,737,746,1.2
55,Jabalpur,214,213,-0.5
56,Jaipur,593,531,10.5
57,Jamshedpur,112,118,5.4
58,Jodhpur,184,219,19
59,Kannur,379,406,7.1
60,Kanpur,372,430,15.6
61,Kochi,304,347,14.1
62,Kolkata,413,283,31.5
63,Kollam,487,472,3.1
64,Kota,115,141,22.6
65,Kozhikode,228,284,24.6
66,Lucknow,304,361,18.8
67,Ludhiana,307,324,5.5
68,Madurai,388,381,1.8
69,Malappuram,160,146,8.8
70,Meerut,23,34,47.8
71,Mumbai,1436,1501,4.5
72,Nagpur,777,771,0.8
73,Nasik,351,263,-25.1
74,Patna,59,53,10.2
75,Prayagraj +,45,116,157.8
76,Pune,1018,1003,1.5
77,Raipur,325,379,16.6
78,Rajkot,426,550,29.1
79,Ranchi,104,187,79.8
80,Srinagar,18,10,44.4
81,Surat,1059,1004,5.2
82,Thiruvananthapuram,344,361,4.9
83,Thrissur,441,489,10.9
84,Tiruchirappalli,192,186,-3.1
85,Vadodara,290,271,6.6
86,Varanasi,90,163,81.1
87,Vasai Virar,328,293,10.7
88,Vijayawada,385,634,64.7
89,Vishakhapatnam,378,461,22
Total (Cities),Total (Cities),25891,26282,1.5
