Sl. No.,State/UT,Bankruptcy or Indebtedness - Male,Bankruptcy or Indebtedness - Female,Bankruptcy or Indebtedness - Transgender,Bankruptcy or Indebtedness - Total,Marriage Related Issues (Total) - Male,Marriage Related Issues (Total) - Female,Marriage Related Issues (Total) - Transgender,Marriage Related Issues (Total) - Total,Marriage Related Issues (Non-Settlement of Marriage) - Male,Marriage Related Issues (Non-Settlement of Marriage) - Female,Marriage Related Issues (Non-Settlement of Marriage) - Transgender,Marriage Related Issues (Non-Settlement of Marriage) - Total,Marriage Related Issues (Dowry Related Issues) - Male,Marriage Related Issues (Dowry Related Issues) - Female,Marriage Related Issues (Dowry Related Issues) - Transgender,Marriage Related Issues (Dowry Related Issues) - Total,Marriage Related Issues (Extra Marital affairs) - Male,Marriage Related Issues (Extra Marital affairs) - Female,Marriage Related Issues (Extra Marital affairs) - Transgender,Marriage Related Issues (Extra Marital affairs) - Total,Marriage Related Issues (Divorce) - Male,Marriage Related Issues (Divorce) - Female,Marriage Related Issues (Divorce) - Transgender,Marriage Related Issues (Divorce) - Total,Marriage Related Issues (Others) - Male,Marriage Related Issues (Others) - Female,Marriage Related Issues (Others) - Transgender,Marriage Related Issues (Others) - Total,Failure in Examination - Male,Failure in Examination - Female,Failure in Examination - Transgender,Failure in Examination - Total,Impotency/Infertility - Male,Impotency/Infertility - Female,Impotency/Infertility - Transgender,Impotency/Infertility - Total,Family Problems - Male,Family Problems - Female,Family Problems - Transgender,Family Problems - Total,Illness (Total) - Male,Illness (Total) - Female,Illness (Total) - Transgender,Illness (Total) - Total,Illness (AIDS/STD) - Male,Illness (AIDS/STD) - Female,Illness (AIDS/STD) - Transgender,Illness (AIDS/STD) - Total,Illness (Cancer) - Male,Illness (Cancer) - Female,Illness (Cancer) - Transgender,Illness (Cancer) - Total,Illness (Paralysis) - Male,Illness (Paralysis) - Female,Illness (Paralysis) - Transgender,Illness (Paralysis) - Total,Illness (Insanity/Mental illness) - Male,Illness (Insanity/Mental illness) - Female,Illness (Insanity/Mental illness) - Transgender,Illness (Insanity/Mental illness) - Total,Illness (Other Prolonged Illness) - Male,Illness (Other Prolonged Illness) - Female,Illness (Other Prolonged Illness) - Transgender,Illness (Other Prolonged Illness) - Total,Death of Dear Person - Male,Death of Dear Person - Female,Death of Dear Person - Transgender,Death of Dear Person - Total,Drug Abuse/Alcoholic Addiction - Male,Drug Abuse/Alcoholic Addiction - Female,Drug Abuse/Alcoholic Addiction - Transgender,Drug Abuse/Alcoholic Addiction - Total,Fall in Social Reputation - Male,Fall in Social Reputation - Female,Fall in Social Reputation - Transgender,Fall in Social Reputation - Total,Ideological Causes/Hero Worshipping - Male,Ideological Causes/Hero Worshipping - Female,Ideological Causes/Hero Worshipping - Transgender,Ideological Causes/Hero Worshipping - Total,Love Affairs - Male,Love Affairs - Female,Love Affairs - Transgender,Love Affairs - Total,Poverty - Male,Poverty - Female,Poverty - Transgender,Poverty - Total,Unemployment - Male,Unemployment - Female,Unemployment - Transgender,Unemployment - Total,Property Dispute - Male,Property Dispute - Female,Property Dispute - Transgender,Property Dispute - Total,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total,Physical Abuse (Rape) - Male,Physical Abuse (Rape) - Female,Physical Abuse (Rape) - Transgender,Physical Abuse (Rape) - Total,Professional/Career Problem - Male,Professional/Career Problem - Female,Professional/Career Problem - Transgender,Professional/Career Problem - Total,Causes Not Known - Male,Causes Not Known - Female,Causes Not Known - Transgender,Causes Not Known - Total,Other Causes - Male,Other Causes - Female,Other Causes - Transgender,Other Causes - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,Andhra Pradesh,815,97,0,912,128,91,1,220,45,23,0,68,0,22,0,22,30,23,0,53,16,1,0,17,37,22,1,60,78,43,0,121,18,13,0,31,1769,651,0,2420,1463,722,1,2186,6,6,1,13,17,10,0,27,31,8,0,39,575,276,0,851,834,422,0,1256,64,31,0,95,375,5,0,380,8,5,0,13,0,1,0,1,141,56,0,197,125,7,0,132,83,14,0,97,56,7,0,63,50,10,0,60,0,0,0,0,0,0,0,0,72,31,0,103,484,97,0,581,1036,260,0,1296,6765,2141,2,8908
2,Arunachal Pradesh,0,0,0,0,3,2,0,5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,4,1,0,0,1,0,0,0,0,6,3,0,9,1,0,0,1,10,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,73,19,0,92,11,7,0,18,114,35,0,149
3,Assam,52,0,0,52,187,170,0,357,50,28,0,78,23,94,0,117,74,41,0,115,40,7,0,47,0,0,0,0,23,19,0,42,0,0,0,0,956,328,0,1284,245,99,0,344,0,0,0,0,11,4,0,15,14,2,0,16,220,93,0,313,0,0,0,0,45,7,0,52,64,0,0,64,19,15,0,34,0,0,0,0,185,174,0,359,107,44,0,151,126,24,0,150,196,83,0,279,52,35,0,87,0,0,0,0,0,0,0,0,36,13,0,49,3,0,0,3,13,0,0,13,2309,1011,0,3320
4,Bihar,0,0,0,0,42,52,0,94,25,27,0,52,0,9,0,9,14,12,0,26,3,4,0,7,0,0,0,0,20,10,0,30,0,0,0,0,164,144,0,308,18,11,0,29,0,0,0,0,0,0,0,0,4,6,0,10,14,5,0,19,0,0,0,0,1,3,0,4,21,3,0,24,1,0,0,1,0,0,0,0,93,88,0,181,0,0,0,0,3,0,0,3,5,2,0,7,12,0,0,12,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,386,316,0,702
5,Chhattisgarh,22,2,0,24,129,147,0,276,82,57,0,139,0,62,0,62,14,2,0,16,3,3,0,6,30,23,0,53,37,38,0,75,6,17,0,23,1304,468,0,1772,1120,392,0,1512,3,0,0,3,7,3,0,10,8,4,0,12,572,155,0,727,530,230,0,760,43,37,0,80,595,29,0,624,8,8,0,16,0,1,0,1,227,117,0,344,26,4,0,30,54,1,0,55,7,0,0,7,31,7,0,38,0,3,0,3,0,4,0,4,24,5,0,29,1018,340,0,1358,1509,666,0,2175,6160,2286,0,8446
6,Goa,9,1,0,10,3,4,0,7,1,1,0,2,0,0,0,0,1,3,0,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,41,22,0,63,57,24,0,81,1,0,0,1,0,0,0,0,2,0,0,2,42,23,0,65,12,1,0,13,4,1,0,5,29,0,0,29,1,0,0,1,0,0,0,0,18,9,0,27,3,0,0,3,12,0,0,12,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,30,7,0,37,11,1,0,12,232,70,0,302
7,Gujarat,142,10,0,152,225,142,0,367,66,38,0,104,0,3,0,3,50,36,0,86,61,33,0,94,48,32,0,80,73,82,0,155,11,20,0,31,1475,810,0,2285,1172,574,1,1747,8,17,0,25,84,23,0,107,61,9,0,70,576,304,0,880,443,221,1,665,93,48,0,141,91,3,0,94,30,11,0,41,26,16,0,42,390,253,1,644,157,16,0,173,265,24,0,289,17,1,0,18,10,4,0,14,0,0,0,0,0,1,0,1,329,12,0,341,1515,602,0,2117,237,113,0,350,6258,2742,2,9002
8,Haryana,3,0,0,3,50,31,0,81,21,10,0,31,10,13,0,23,6,3,0,9,1,1,0,2,12,4,0,16,16,20,0,36,1,0,0,1,306,144,0,450,639,170,1,810,2,0,0,2,3,0,0,3,3,0,0,3,385,115,0,500,246,55,1,302,4,1,0,5,73,0,0,73,1,0,0,1,0,0,0,0,21,15,0,36,15,2,0,17,29,0,0,29,3,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,6,960,194,0,1154,945,131,0,1076,3073,709,1,3783
9,Himachal Pradesh,1,0,0,1,33,16,0,49,28,11,0,39,0,4,0,4,5,0,0,5,0,1,0,1,0,0,0,0,3,5,0,8,0,1,0,1,219,106,0,325,105,21,0,126,0,0,0,0,0,0,0,0,0,0,0,0,105,21,0,126,0,0,0,0,0,0,0,0,25,1,0,26,0,0,0,0,0,0,0,0,27,14,0,41,0,0,0,0,23,3,0,26,23,3,0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,10,4,0,0,4,471,173,0,644
10,Jharkhand,9,5,0,14,214,142,0,356,83,50,0,133,29,47,0,76,92,39,0,131,10,5,0,15,0,1,0,1,86,88,0,174,1,2,0,3,191,74,0,265,142,59,0,201,0,0,0,0,18,6,0,24,3,12,0,15,121,41,0,162,0,0,0,0,25,3,0,28,70,17,0,87,3,7,0,10,1,0,0,1,436,242,0,678,9,8,0,17,163,25,0,188,13,7,0,20,34,9,0,43,0,10,0,10,10,1,0,11,39,5,0,44,20,2,0,22,7,2,0,9,1473,708,0,2181
