Sl. No.,State/UT,House wife - Male,House wife - Female,House wife - Transgender,House wife - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons (Total) - Male,Professionals/Salaried Persons (Total) - Female,Professionals/Salaried Persons (Total) - Transgender,Professionals/Salaried Persons (Total) - Total,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Male,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Female,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Transgender,Professionals/Salaried Persons - Government Servants(Central/UT Govt. Servants) - Total,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Male,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Female,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Transgender,Professionals/Salaried Persons - Government Servants(State Govt. Servants) - Total,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Male,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Female,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Transgender,Professionals/Salaried Persons - Government Servants (Other Statutory Body) - Total,Professionals/Salaried Persons (Private Sector Enterprises) - Male,Professionals/Salaried Persons (Private Sector Enterprises) - Female,Professionals/Salaried Persons (Private Sector Enterprises) - Transgender,Professionals/Salaried Persons (Private Sector Enterprises) - Total,Professionals/Salaried Persons (Public Sector Undertaking) - Male,Professionals/Salaried Persons (Public Sector Undertaking) - Female,Professionals/Salaried Persons (Public Sector Undertaking) - Transgender,Professionals/Salaried Persons (Public Sector Undertaking) - Total,Students - Male,Students - Female,Students - Transgender,Students - Total,Unemployed Persons - Male,Unemployed Persons - Female,Unemployed Persons - Transgender,Unemployed Persons - Total,Self-employed Persons(Total) - Male,Self-employed Persons(Total) - Female,Self-employed Persons(Total) - Transgender,Self-employed Persons(Total) - Total,Self-employed Persons - Business (Total) - Male,Self-employed Persons - Business (Total) - Female,Self-employed Persons - Business (Total) - Transgender,Self-employed Persons - Business (Total) - Total,Self-employed Persons - Business(Vendor) - Male,Self-employed Persons - Business(Vendor) - Female,Self-employed Persons - Business(Vendor) - Transgender,Self-employed Persons - Business(Vendor) - Total,Self-employed Persons - Business(Tradesmen) - Male,Self-employed Persons - Business(Tradesmen) - Female,Self-employed Persons - Business(Tradesmen) - Transgender,Self-employed Persons - Business(Tradesmen) - Total,Self-employed Persons - Business(Other Business) - Male,Self-employed Persons - Business(Other Business) - Female,Self-employed Persons - Business(Other Business) - Transgender,Self-employed Persons - Business(Other Business) - Total,Other Self-employed Persons - Male,Other Self-employed Persons - Female,Other Self-employed Persons - Transgender,Other Self-employed Persons - Total,Persons Engaged in Farming Sector (Total) - Male,Persons Engaged in Farming Sector (Total) - Female,Persons Engaged in Farming Sector (Total) - Transgender,Persons Engaged in Farming Sector (Total) - Total,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Male,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Female,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Transgender,Persons Engaged in Farming Sector - Farmers/Cultivators (Total) - Total,Farmers/Cultivators (Who Cultivate Their Own Land) - Male,Farmers/Cultivators (Who Cultivate Their Own Land) - Female,Farmers/Cultivators (Who Cultivate Their Own Land) - Transgender,Farmers/Cultivators (Who Cultivate Their Own Land) - Total,Farmers/Cultivators (Who Cultivate On Lease Land) - Male,Farmers/Cultivators (Who Cultivate On Lease Land) - Female,Farmers/Cultivators (Who Cultivate On Lease Land) - Transgender,Farmers/Cultivators (Who Cultivate On Lease Land) - Total,Persons engaged in Farming Sector (Agricultural Laborers) - Male,Persons engaged in Farming Sector (Agricultural Laborers) - Female,Persons engaged in Farming Sector (Agricultural Laborers) - Transgender,Persons engaged in Farming Sector (Agricultural Laborers) - Total,Daily Wage Earner - Male,Daily Wage Earner - Female,Daily Wage Earner - Transgender,Daily Wage Earner - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Retired Persons - Male,Retired Persons - Female,Retired Persons - Transgender,Retired Persons - Total,Total - Male,Total - Female,Total - Transgender,Total
1,Andhra Pradesh,NA,885,0,885,541,74,0,615,88,15,0,103,26,2,0,28,61,13,0,74,1,0,0,1,399,47,0,446,54,12,0,66,343,232,0,575,326,38,0,364,1021,73,1,1095,578,31,1,610,255,15,0,270,175,12,0,187,148,4,1,153,443,42,0,485,798,119,0,917,361,8,0,369,302,7,0,309,59,1,0,60,437,111,0,548,2520,369,0,2889,38,8,0,46,1178,343,1,1522,6765,2141,2,8908
2,Arunachal Pradesh,NA,8,0,8,17,1,0,18,16,1,0,17,7,0,0,7,9,1,0,10,0,0,0,0,1,0,0,1,0,0,0,0,17,11,0,28,17,3,0,20,19,3,0,22,6,1,0,7,0,0,0,0,0,0,0,0,6,1,0,7,13,2,0,15,7,0,0,7,2,0,0,2,1,0,0,1,1,0,0,1,5,0,0,5,18,1,0,19,1,1,0,2,18,7,0,25,114,35,0,149
3,Assam,NA,429,0,429,465,90,0,555,68,1,0,69,25,0,0,25,26,1,0,27,17,0,0,17,277,67,0,344,120,22,0,142,217,195,0,412,798,126,0,924,213,20,0,233,213,20,0,233,117,13,0,130,96,7,0,103,0,0,0,0,0,0,0,0,115,8,0,123,31,3,0,34,18,3,0,21,13,0,0,13,84,5,0,89,488,135,0,623,4,0,0,4,9,8,0,17,2309,1011,0,3320
4,Bihar,NA,191,0,191,150,33,0,183,1,2,0,3,0,0,0,0,1,2,0,3,0,0,0,0,139,18,0,157,10,13,0,23,109,73,0,182,81,17,0,98,41,2,0,43,41,2,0,43,29,0,0,29,12,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,386,316,0,702
5,Chhattisgarh,NA,835,0,835,123,7,0,130,79,5,0,84,9,0,0,9,54,4,0,58,16,1,0,17,42,1,0,43,2,1,0,3,300,393,0,693,294,36,0,330,290,8,0,298,86,1,0,87,70,0,0,70,4,0,0,4,12,1,0,13,204,7,0,211,433,63,0,496,111,2,0,113,88,0,0,88,23,2,0,25,322,61,0,383,2271,286,0,2557,7,0,0,7,2442,658,0,3100,6160,2286,0,8446
6,Goa,NA,36,0,36,69,11,0,80,13,0,0,13,3,0,0,3,10,0,0,10,0,0,0,0,44,10,0,54,12,1,0,13,9,11,0,20,70,10,0,80,26,2,0,28,22,0,0,22,12,0,0,12,6,0,0,6,4,0,0,4,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,36,14,0,0,14,8,0,0,8,232,70,0,302
7,Gujarat,NA,1761,0,1761,842,47,0,889,50,7,0,57,13,0,0,13,28,7,0,35,9,0,0,9,787,31,0,818,5,9,0,14,337,374,0,711,389,12,0,401,1178,91,0,1269,619,10,0,629,125,1,0,126,301,0,0,301,193,9,0,202,559,81,0,640,144,10,0,154,0,0,0,0,0,0,0,0,0,0,0,0,144,10,0,154,2882,240,0,3122,288,46,0,334,198,161,2,361,6258,2742,2,9002
8,Haryana,NA,314,0,314,355,26,0,381,77,6,0,83,14,2,0,16,46,4,0,50,17,0,0,17,269,20,0,289,9,0,0,9,148,89,0,237,265,23,0,288,284,9,0,293,133,0,0,133,46,0,0,46,31,0,0,31,56,0,0,56,151,9,0,160,254,12,0,266,1,0,0,1,1,0,0,1,0,0,0,0,253,12,0,265,677,22,0,699,12,0,0,12,1078,214,1,1293,3073,709,1,3783
9,Himachal Pradesh,NA,116,0,116,166,17,0,183,22,1,0,23,4,0,0,4,18,1,0,19,0,0,0,0,121,16,0,137,23,0,0,23,41,33,0,74,75,3,0,78,35,0,0,35,34,0,0,34,19,0,0,19,14,0,0,14,1,0,0,1,1,0,0,1,4,0,0,4,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,145,4,0,149,4,0,0,4,1,0,0,1,471,173,0,644
10,Jharkhand,NA,177,0,177,148,21,0,169,13,0,0,13,1,0,0,1,3,0,0,3,9,0,0,9,109,16,0,125,26,5,0,31,465,359,0,824,584,136,0,720,130,13,0,143,130,13,0,143,64,7,0,71,66,6,0,72,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,124,2,0,126,2,0,0,2,13,0,0,13,1473,708,0,2181
